DATE,CPILFESL
1957-01-01,28.9333333333333333
1958-01-01,29.5916666666666667
1959-01-01,30.1750000000000000
1960-01-01,30.6416666666666667
1961-01-01,31.0000000000000000
1962-01-01,31.4000000000000000
1963-01-01,31.8083333333333333
1964-01-01,32.3000000000000000
1965-01-01,32.7333333333333333
1966-01-01,33.5500000000000000
1967-01-01,34.7083333333333333
1968-01-01,36.3250000000000000
1969-01-01,38.4166666666666667
1970-01-01,40.8166666666666667
1971-01-01,42.7333333333333333
1972-01-01,44.0416666666666667
1973-01-01,45.5750000000000000
1974-01-01,49.3583333333333333
1975-01-01,53.9083333333333333
1976-01-01,57.4416666666666667
1977-01-01,61.0333333333333333
1978-01-01,65.4750000000000000
1979-01-01,71.8583333333333333
1980-01-01,80.7833333333333333
1981-01-01,89.2500000000000000
1982-01-01,95.8500000000000000
1983-01-01,99.6000000000000000
1984-01-01,104.7000000000000000
1985-01-01,109.2833333333333333
1986-01-01,113.7083333333333333
1987-01-01,118.1750000000000000
1988-01-01,123.4250000000000000
1989-01-01,128.9666666666666667
1990-01-01,135.4583333333333333
1991-01-01,142.1166666666666667
1992-01-01,147.3166666666666667
1993-01-01,152.2000000000000000
1994-01-01,156.5000000000000000
1995-01-01,161.2250000000000000
1996-01-01,165.5583333333333333
1997-01-01,169.5083333333333333
1998-01-01,173.3833333333333333
1999-01-01,176.9750000000000000
2000-01-01,181.2916666666666667
2001-01-01,186.1250000000000000
2002-01-01,190.4416666666666667
2003-01-01,193.2250000000000000
2004-01-01,196.6416666666666667
2005-01-01,200.8666666666666667
2006-01-01,205.9166666666666667
2007-01-01,210.7250833333333333
2008-01-01,215.5650833333333333
2009-01-01,219.2366666666666667
2010-01-01,221.3358333333333333
2011-01-01,225.0064166666666667
2012-01-01,229.7568333333333333
2013-01-01,233.8104166666666667
2014-01-01,237.9023333333333333
2015-01-01,242.2575000000000000
2016-01-01,247.6035833333333333
2017-01-01,252.1525000000000000
2018-01-01,257.5614166666666667
2019-01-01,263.2075000000000000
2020-01-01,267.7049166666666667
2021-01-01,277.2530000000000000
2022-01-01,294.3016666666666667
2023-01-01,.
